store_id,store_name,city,state,region,store_type,opening_date,store_status
94,RetailHub Mumbai 94,Mumbai,Maharashtra,West,Express,2020-09-29,Inactive
2,RetailHub Bhubaneswar 2,Bhubaneswar,Odisha,East,Mall,2022-11-28,Inactive
53,RetailHub Chennai 53,Chennai,Tamil Nadu,South,Standalone,2018-10-10,Active
22,RetailHub Pune 22,Pune,Maharashtra,West,Mall,2023-03-02,Inactive
3,RetailHub Bhopal 3,Bhopal,Madhya Pradesh,Central,Mall,2023-06-15,Active
24,RetailHub Bhopal 24,Bhopal,Madhya Pradesh,Central,Mall,2025-07-11,Active
88,RetailHub Chandigarh 88,Chandigarh,Chandigarh,North,Express,2024-12-09,Active
96,RetailHub Pune 96,Pune,Maharashtra,West,Mall,2025-09-27,Active
75,RetailHub Bhopal 75,Bhopal,Madhya Pradesh,Central,Mall,2019-03-18,Inactive
87,RetailHub Bhopal 87,Bhopal,Madhya Pradesh,Central,Standalone,2021-06-24,Active
83,RetailHub Delhi 83,Delhi,Delhi,North,Mall,2024-01-29,Active
21,RetailHub Bhopal 21,Bhopal,Madhya Pradesh,Central,Express,2019-09-06,Inactive
61,RetailHub Ahmedabad 61,Ahmedabad,Gujarat,West,Standalone,2025-07-20,Active
72,RetailHub Bhopal 72,Bhopal,Madhya Pradesh,Central,Standalone,2025-10-23,Active
15,RetailHub Kolkata 15,Kolkata,West Bengal,East,Express,2024-11-23,Inactive
93,RetailHub Chandigarh 93,Chandigarh,Chandigarh,North,Mall,2024-04-28,Inactive
52,RetailHub Bhopal 52,Bhopal,Madhya Pradesh,Central,Mall,2023-01-11,Inactive
71,RetailHub Chennai 71,Chennai,Tamil Nadu,South,Express,2019-02-19,Active
