product_id,product_name,category,brand,cost_price,selling_price,stock,product_status
11,Switchable uniform info-mediaries,Grocery,Nike,18417.94,25650.37,99,Inactive
238,User-centric dedicated protocol,Books,Puma,26693.03,36279.48,197,Inactive
332,De-engineered heuristic service-desk,Grocery,Philips,968.99,1101.19,353,Inactive
706,Function-based systematic knowledgebase,Electronics,Apple,45958.96,57550.03,65,Inactive
87,Business-focused optimizing array,Home,Apple,3900.07,5066.11,499,Active
804,Organic executive complexity,Sports,Samsung,5959.58,8077.94,35,Active
175,Polarized dynamic architecture,Grocery,Samsung,16048.62,8024.31,121,Active
313,Automated zero tolerance architecture,Home,Levis,33617.66,35632.96,147,Inactive
463,Persevering 5thgeneration moratorium,Beauty,Adidas,30222.64,35475.36,15,Inactive
219,Object-based clear-thinking Local Area Network,Sports,Nike,35785.98,44683.17,249,Active
31,Team-oriented global structure,Home,Apple,28297.4,30257.79,316,Active
548,Programmable asynchronous initiative,Home,LG,11495.69,13205.59,411,Active
665,Right-sized system-worthy conglomeration,Clothing,Nike,7947.0,-100.0,447,Active
55,Advanced high-level toolset,Books,LG,838.5,1000.69,405,Inactive
24,User-centric regional moratorium,Electronics,Sony,43205.35,63052.89,391,Active
257,Focused object-oriented focus group,Books,Sony,20136.7,23783.62,395,Inactive
451,Organized multimedia parallelism,Grocery,Adidas,36533.1,47134.2,12,Inactive
4,Function-based demand-driven Local Area Network,Grocery,Levis,9548.14,11185.2,237,Active
834,Secured impactful ability,Grocery,Puma,27686.99,40624.47,289,Inactive
553,Persevering incremental projection,Books,Levis,36753.06,50537.76,88,Active
639,Streamlined uniform superstructure,Toys,Puma,17651.97,24431.33,9,Active
478,Virtual actuating encoding,Clothing,LG,32872.46,44161.25,23,Inactive
957,Distributed static open system,Beauty,Samsung,2617.19,3426.08,47,Inactive
663,Front-line well-modulated capacity,Electronics,Levis,26645.42,33397.09,497,Active
519,Persistent fresh-thinking analyzer,Beauty,Nike,9114.75,13309.31,282,Inactive
961,Integrated eco-centric superstructure,Clothing,Nike,33005.46,47633.87,406,Active
954,Reduced client-driven attitude,Beauty,Levis,34473.3,51678.92,375,Inactive
980,Vision-oriented explicit info-mediaries,Home,Adidas,31895.5,15947.75,268,Inactive
576,Profit-focused fresh-thinking core,Sports,Samsung,6751.74,8476.77,292,Inactive
540,Persevering upward-trending data-warehouse,Electronics,Apple,41998.26,58306.72,434,Active
216,Persistent tertiary task-force,Electronics,Adidas,18699.03,24451.71,270,Inactive
738,Fundamental non-volatile productivity,Grocery,Adidas,6848.34,8762.18,225,Inactive
999,Secured bi-directional protocol,Toys,Nike,46311.35,59820.62,152,Active
714,Automated mobile alliance,Clothing,Sony,21944.25,25770.04,178,Inactive
668,Optimized explicit architecture,Books,Nestle,11981.15,17202.8,498,Active
40,Organized transitional data-warehouse,Clothing,Adidas,22477.32,28083.84,278,Inactive
232,Cross-group 5thgeneration forecast,Clothing,Philips,40732.67,58296.52,257,Active
495,Future-proofed leadingedge archive,Clothing,Nestle,17450.04,18769.03,90,Inactive
705,Customer-focused intangible strategy,Beauty,Puma,44365.56,58234.32,78,Inactive
968,Synergistic encompassing instruction set,Electronics,Sony,39083.44,52152.21,56,Inactive
67,Cross-platform discrete infrastructure,Sports,Nestle,47886.06,69624.28,29,Active
295,Streamlined 4thgeneration projection,Sports,Adidas,33543.03,47825.71,368,Active
68,De-engineered motivating portal,Grocery,Nestle,3873.58,5573.64,385,Inactive
480,Grass-roots contextually-based encryption,Grocery,Sony,30643.43,39378.11,86,Active
329,Fully-configurable heuristic moderator,Beauty,Puma,1195.1,1328.48,419,Inactive
627,Balanced attitude-oriented implementation,Home,Nestle,29872.55,31656.96,460,Inactive
108,Integrated dedicated array,Sports,Puma,14535.71,20775.95,130,Active
984,Robust regional algorithm,Toys,Apple,9708.98,12000.02,104,Inactive
347,Sharable modular encoding,Electronics,Sony,32385.14,36822.88,119,Inactive
299,Vision-oriented composite success,Books,Nike,34801.03,46378.49,210,Active
644,Vision-oriented demand-driven protocol,Electronics,Nestle,28286.06,37421.99,65,Inactive
308,Decentralized multimedia monitoring,Grocery,Sony,19986.28,24626.62,355,Active
855,,Electronics,Nike,44451.07,64198.17,150,Active
507,Fully-configurable asynchronous pricing structure,Beauty,LG,20645.8,28482.57,369,Inactive
297,Realigned explicit benchmark,Beauty,Sony,27556.58,35116.39,121,Active
881,Profit-focused asymmetric data-warehouse,Clothing,LG,28661.25,39869.8,215,Active
667,Polarized 5thgeneration time-frame,Beauty,Nike,43690.1,49203.15,54,Active
101,Monitored exuding methodology,Books,Samsung,43542.03,56541.96,146,Inactive
89,Triple-buffered fault-tolerant instruction set,Beauty,Sony,47338.5,60113.65,419,Inactive
64,Reduced client-server instruction set,Sports,Levis,13964.1,19788.2,262,Inactive
844,Profit-focused reciprocal portal,Home,Sony,36568.15,40172.68,230,Inactive
889,Triple-buffered user-facing firmware,Clothing,Levis,31901.88,34887.72,328,Active
140,Triple-buffered analyzing protocol,Home,Nestle,22641.45,32856.51,326,Inactive
758,User-centric intermediate system engine,Sports,Nestle,34969.26,37780.05,452,Inactive
616,Integrated explicit projection,Books,Philips,10771.97,16124.45,100,Inactive
500,Managed modular success,Electronics,Levis,36007.77,52859.42,70,Active
666,Balanced radical algorithm,Beauty,Levis,30719.48,34744.15,439,Inactive
585,Profit-focused explicit circuit,Home,Sony,33445.72,41982.33,243,Active
110,Profound clear-thinking extranet,Clothing,Philips,28086.99,29663.38,396,Inactive
917,Grass-roots impactful superstructure,Clothing,Nestle,39213.06,44448.42,0,Inactive
651,Intuitive hybrid data-warehouse,Electronics,Sony,23926.94,34561.62,406,Inactive
534,Multi-layered object-oriented hierarchy,Home,Adidas,11468.81,13921.54,141,Inactive
446,Secured tertiary algorithm,Books,Apple,8323.34,8921.55,8,Active
606,Reduced real-time algorithm,Unknown_Category,Samsung,40270.09,43538.21,117,Active
137,Universal responsive framework,Grocery,Adidas,22331.08,33447.46,437,Active
812,Multi-channeled system-worthy customer loyalty,Electronics,Adidas,38040.1,49155.55,138,Inactive
515,Balanced composite solution,Books,Samsung,39987.18,55043.85,283,Active
754,Digitized transitional infrastructure,Books,Puma,14411.97,19364.02,144,Active
159,Centralized logistical data-warehouse,Sports,Apple,18832.38,20591.65,244,Active
311,Digitized clear-thinking middleware,Sports,Levis,363.34,522.52,198,Active
328,,Grocery,Levis,29312.73,37953.74,234,Inactive
137,Universal responsive framework,Grocery,Adidas,22331.08,33447.46,437,Active
936,,Sports,Samsung,1541.65,2185.49,147,Inactive
255,Re-engineered 3rdgeneration application,Sports,Puma,24048.84,27357.06,289,Active
276,Optional non-volatile model,Grocery,LG,30581.4,34802.45,466,Inactive
902,Object-based dedicated open system,Sports,Nestle,21902.57,28708.61,195,Active
185,Digitized attitude-oriented functionalities,Grocery,Samsung,47513.09,52006.49,348,Inactive
583,Streamlined cohesive frame,Grocery,LG,8988.77,9972.96,374,Active
661,Re-engineered executive synergy,Beauty,Adidas,22797.58,29506.15,129,Inactive
897,Configurable intangible core,Toys,Samsung,19409.86,23934.8,194,Inactive
210,Persistent discrete concept,Home,Nestle,33474.4,47492.28,205,Active
169,User-friendly fault-tolerant installation,Toys,Nestle,35958.01,47619.42,31,Active
867,Profit-focused multimedia complexity,Clothing,Samsung,45547.94,56362.85,281,Inactive
281,Managed maximized neural-net,Books,Samsung,46494.88,56187.78,32,Inactive
900,Cross-group object-oriented service-desk,Books,LG,9095.15,13264.34,189,Active
542,Organic bandwidth-monitored extranet,Clothing,Nestle,19537.64,27382.5,36,Active
56,Compatible dedicated functionalities,Electronics,Nestle,10118.55,14368.53,394,Inactive
121,Profit-focused web-enabled concept,Books,Nestle,46535.85,55097.46,252,Active
555,Face-to-face actuating groupware,Grocery,Nike,40120.86,43651.32,399,Active
26,Monitored 4thgeneration utilization,Toys,Sony,17579.26,23985.12,37,Inactive
73,Managed zero administration open architecture,Unknown_Category,Levis,37270.84,0.0,480,Active
539,Phased bandwidth-monitored definition,Sports,Puma,22416.4,27783.5,141,Active
45,Right-sized user-facing project,Electronics,Nike,25134.79,26979.29,143,Active
498,Total impactful artificial intelligence,Books,LG,26476.02,29221.47,72,Active
199,Face-to-face heuristic standardization,Sports,Samsung,36784.85,0.0,34,Inactive
378,Organized system-worthy monitoring,Sports,Philips,670.54,708.97,413,Active
315,Down-sized optimizing productivity,Toys,LG,38628.87,56453.65,202,Inactive
719,Visionary value-added interface,Beauty,LG,32531.46,37597.31,347,Inactive
209,Integrated object-oriented extranet,Clothing,Philips,3808.29,5199.27,183,Inactive
722,Customer-focused impactful hardware,Toys,Apple,25446.24,26876.91,344,Inactive
919,Robust homogeneous flexibility,Beauty,Nestle,32551.42,38591.96,109,Active
536,Programmable client-driven moratorium,Sports,LG,1745.83,2488.77,145,Active
696,Streamlined needs-based encoding,Electronics,Nike,9461.6,0.0,40,Active
605,Up-sized needs-based initiative,Home,Nike,45938.85,52111.84,467,Inactive
591,Pre-emptive zero administration collaboration,Beauty,Sony,45797.96,65346.14,108,Active
291,Optimized user-facing flexibility,Grocery,Levis,49280.59,56676.05,351,Inactive
960,Future-proofed motivating monitoring,Grocery,LG,45675.08,57951.39,283,Active
333,Stand-alone multimedia time-frame,Grocery,Levis,6448.34,7525.79,429,Inactive
211,Implemented upward-trending implementation,Home,LG,44136.26,54852.51,97,Active
343,Secured multimedia database,Clothing,Puma,46123.34,58707.03,57,Inactive
61,Intuitive 24hour open architecture,Electronics,Puma,18944.13,20705.9,164,Inactive
345,Organized upward-trending synergy,Sports,Philips,30479.34,38153.22,274,Inactive
891,Robust bifurcated time-frame,Home,Levis,49254.49,68761.15,193,Active
712,Compatible radical focus group,Toys,Samsung,41705.54,50410.77,296,Inactive
468,Virtual background solution,Electronics,Adidas,984.15,1203.8,122,Active
424,Down-sized disintermediate collaboration,Clothing,Adidas,7207.2,9416.78,4,Inactive
260,Virtual multimedia data-warehouse,Electronics,Nestle,6966.6,9387.26,231,Active
781,Right-sized national project,Books,Puma,35938.95,43962.92,232,Active
406,Monitored actuating methodology,Sports,Sony,1014.47,1479.5,140,Active
789,Decentralized multi-tasking ability,Books,Apple,24858.7,32913.48,144,Active
768,,Books,LG,46500.09,59131.78,326,Active
484,Customizable hybrid moderator,Toys,Sony,38320.73,51454.79,53,Active
531,Synergized value-added time-frame,Clothing,Nestle,4246.51,4631.24,93,Inactive
811,Front-line logistical framework,Toys,Apple,29129.89,37519.6,288,Active
1000,Triple-buffered 4thgeneration conglomeration,Toys,Adidas,21467.42,29640.14,486,Active
967,Streamlined multi-state function,Clothing,Nike,30117.17,35530.86,451,Inactive
111,Optional homogeneous budgetary management,Grocery,Levis,39909.54,53994.24,264,Inactive
996,Enhanced bi-directional encryption,Books,Nike,44900.09,51010.47,248,Active
559,Organized real-time intranet,Sports,Philips,27288.59,32412.49,141,Inactive
794,Quality-focused multi-tasking open architecture,Clothing,Apple,9113.01,10926.53,189,Active
937,Automated 3rdgeneration website,Toys,Nestle,13665.79,20009.56,335,Inactive
920,Multi-layered maximized pricing structure,Clothing,Nestle,41107.89,60221.69,262,Inactive
943,Focused 6thgeneration focus group,Books,Adidas,32310.55,43942.29,107,Active
320,Multi-tiered empowering support,Beauty,Levis,35777.77,38212.08,347,Inactive
517,Triple-buffered bifurcated leverage,Grocery,LG,11010.3,12088.05,92,Active
450,,Grocery,Nike,19476.88,23108.2,20,Active
784,Vision-oriented didactic Local Area Network,Clothing,Nestle,1906.79,0.0,130,Active
594,Visionary reciprocal complexity,Sports,Nike,11517.84,13960.85,121,Active
910,Multi-channeled bi-directional Graphic Interface,Clothing,Puma,20882.04,24948.61,444,Active
744,Distributed 24/7 instruction set,Grocery,Philips,34805.75,43997.37,186,Inactive
138,Customizable contextually-based budgetary management,Grocery,Nestle,1997.93,2315.75,72,Inactive
800,Exclusive mobile firmware,Books,Nestle,1201.4,1772.54,412,Inactive
934,Virtual stable circuit,Electronics,Philips,31516.08,45961.04,111,Inactive
823,Balanced encompassing infrastructure,Grocery,Levis,38091.7,54426.81,200,Active
766,Centralized needs-based definition,Sports,Adidas,7477.47,10670.5,476,Inactive
262,Quality-focused contextually-based workforce,Books,Adidas,15550.58,18769.37,181,Inactive
568,Networked dynamic contingency,Clothing,Adidas,591.14,732.49,401,Inactive
833,,Books,Samsung,47697.36,63906.65,218,Inactive
382,Right-sized heuristic structure,Toys,Puma,46617.1,66820.26,390,Active
334,Reactive systemic monitoring,Toys,Adidas,6481.77,9637.31,317,Active
537,Polarized multi-tasking open system,Clothing,Puma,48097.54,66532.42,349,Inactive
352,Upgradable regional instruction set,Sports,Puma,6782.56,7173.72,234,Inactive
786,Automated content-based architecture,Sports,LG,41814.52,58260.4,163,Inactive
452,Exclusive tangible functionalities,Electronics,Nike,8026.13,9342.23,109,Active
79,Optional next generation definition,Electronics,Nestle,29247.93,30872.54,149,Active
30,Customizable full-range knowledge user,Grocery,Adidas,16622.32,17542.3,196,Active
713,Down-sized bi-directional workforce,Books,LG,43957.06,57129.18,300,Active
278,Seamless incremental support,Home,Samsung,31686.84,38088.0,171,Active
248,Ameliorated tangible throughput,Sports,Adidas,27148.8,34838.95,119,Inactive
658,Organized explicit moderator,Beauty,Adidas,36606.52,50511.65,111,Inactive
307,Innovative modular software,Clothing,Apple,16706.4,24935.46,297,Active
166,Phased full-range workforce,Grocery,LG,22053.85,31505.27,427,Active
817,Persevering dedicated functionalities,Home,Nestle,30054.21,42567.23,208,Active
179,Secured regional structure,Books,Nike,35324.77,37402.99,395,Active
486,Open-architected context-sensitive archive,Sports,Philips,44668.44,64923.08,343,Inactive
66,Robust multi-tasking challenge,Grocery,Apple,37316.19,51555.83,282,Inactive
142,Synchronized local neural-net,Electronics,Puma,5409.04,6689.73,168,Inactive
437,Multi-lateral static algorithm,Toys,Levis,21616.19,31384.02,11,Inactive
523,Streamlined grid-enabled projection,Electronics,Apple,40585.75,57210.68,29,Inactive
845,Versatile static policy,Electronics,Apple,5257.89,6364.79,280,Active
421,Enterprise-wide neutral strategy,Books,Nike,16476.39,17397.44,488,Inactive
405,Diverse zero administration monitoring,Toys,Samsung,7926.26,10280.03,29,Active
680,Managed 6thgeneration challenge,Electronics,LG,33559.0,49785.49,375,Active
266,Diverse full-range adapter,Toys,Adidas,40738.37,55975.76,142,Active
880,Distributed contextually-based structure,Sports,Nestle,43680.68,58336.46,412,Active
293,Business-focused object-oriented matrix,Electronics,Nike,11256.92,13468.24,440,Active
222,Optional encompassing Internet solution,Electronics,Nike,32896.83,37781.63,167,Inactive
828,Ergonomic directional extranet,Home,Adidas,4069.96,5156.54,321,Inactive
236,Intuitive system-worthy Graphic Interface,Electronics,Nestle,46089.79,66974.12,432,Inactive
526,Ergonomic bi-directional utilization,Grocery,Apple,5776.78,6735.37,220,Inactive
193,Re-engineered 24hour circuit,Grocery,Puma,21890.71,29276.03,186,Inactive
322,Future-proofed leadingedge adapter,Electronics,Puma,37184.42,41663.38,236,Inactive
50,Multi-layered 24/7 encoding,Home,Levis,12449.46,14876.7,158,Active
892,Innovative static Internet solution,Sports,Apple,36895.13,47913.25,275,Active
3,Adaptive local adapter,Electronics,Nestle,42540.03,58117.33,184,Active
818,Function-based dynamic functionalities,Clothing,Philips,48844.21,54160.01,82,Active
371,Horizontal stable extranet,Books,Nike,48529.55,66269.85,405,Active
922,Cross-platform dynamic process improvement,Clothing,LG,7300.4,8151.36,-50,Inactive
250,Public-key eco-centric moderator,Beauty,Nestle,6331.99,7269.9,472,Active
549,Open-architected well-modulated archive,Toys,Apple,48873.82,55654.64,220,Inactive
433,Grass-roots exuding database,Beauty,Puma,38033.42,55746.19,142,Inactive
939,Stand-alone client-driven utilization,Beauty,Nestle,1147.42,1600.22,-100,Active
508,Customizable static challenge,Beauty,Nestle,1355.73,2010.38,101,Inactive
34,Intuitive heuristic support,Toys,LG,24860.75,33382.73,235,Active
205,Front-line optimal interface,Grocery,Philips,11974.26,16424.09,103,Inactive
890,Cloned real-time functionalities,Toys,LG,26971.42,38891.74,133,Inactive
589,Open-architected composite concept,Home,Nike,21985.05,30333.07,123,Inactive
731,Intuitive stable instruction set,Grocery,Adidas,7659.94,10382.35,-100,Active
78,Devolved actuating methodology,Sports,Apple,14831.83,16641.92,24,Inactive
85,Polarized even-keeled budgetary management,Clothing,Levis,33468.27,40528.3,284,Inactive
306,Multi-tiered 24hour interface,Books,Adidas,32111.93,38577.57,139,Active
83,Multi-channeled multi-tasking installation,Home,Puma,7433.16,8506.64,467,Active
449,Object-based disintermediate process improvement,Beauty,Levis,48159.15,56423.39,17,Inactive
998,Re-contextualized disintermediate knowledge user,Home,LG,14874.4,16771.89,167,Inactive
752,Versatile mobile pricing structure,Clothing,Apple,48747.73,56235.39,10,Active
532,Innovative secondary model,Grocery,Nike,35217.17,44089.45,398,Inactive
324,Function-based stable infrastructure,Grocery,LG,790.52,975.25,348,Active
496,Devolved asynchronous frame,Beauty,Samsung,5399.91,6089.27,154,Inactive
911,Pre-emptive discrete capacity,Toys,Samsung,34350.15,37774.89,112,Active
6,Optimized 6thgeneration moderator,Sports,Nestle,35487.88,51239.74,418,Inactive
426,Multi-lateral upward-trending firmware,Grocery,Samsung,22196.42,32976.01,4,Active
491,Secured value-added encryption,Sports,Nike,33639.06,40130.38,377,Inactive
98,Multi-layered asymmetric workforce,Clothing,LG,44729.27,61874.56,63,Active
762,Implemented heuristic middleware,Toys,Nestle,45553.93,63773.09,307,Inactive
423,User-centric static success,Electronics,Philips,48611.48,53206.08,230,Active
886,Function-based incremental extranet,Toys,Nestle,14274.75,20464.51,438,Active
282,Enhanced eco-centric system engine,Toys,Adidas,46686.75,65672.26,38,Active
267,Object-based zero administration migration,Grocery,LG,36358.48,40702.08,353,Inactive
443,Profound human-resource flexibility,Sports,Sony,3775.42,4159.29,339,Inactive
746,Universal coherent extranet,Books,LG,34453.3,38878.07,474,Active
383,Cross-group next generation success,Clothing,Sony,101.74,151.26,496,Inactive
693,Cross-platform user-facing pricing structure,Electronics,Samsung,14625.63,20067.27,438,Active
894,,Beauty,Levis,45084.43,60527.67,115,Inactive
535,Versatile radical structure,Electronics,Nestle,16161.68,22557.07,211,Inactive
119,Managed discrete model,Grocery,Apple,35207.68,45573.87,349,Inactive
389,Programmable even-keeled policy,Home,LG,1893.86,2239.47,442,Inactive
251,Multi-tiered zero-defect parallelism,Grocery,Apple,25409.41,30784.88,469,Active
944,Decentralized logistical alliance,Grocery,Levis,17887.62,20169.85,492,Active
454,User-friendly bifurcated instruction set,Home,Samsung,33172.56,41082.08,495,Inactive
10,,Home,Sony,5197.79,6974.35,457,Inactive
197,Upgradable attitude-oriented concept,Books,Nestle,26440.88,35167.55,172,Inactive
619,Polarized scalable capacity,Home,Nike,42235.98,45596.54,380,Inactive
82,,Electronics,Philips,17683.63,25113.98,73,Active
399,Enterprise-wide stable moderator,Home,Levis,26390.64,30241.21,288,Active
502,Secured fault-tolerant architecture,Grocery,Puma,26369.73,33230.53,89,Active
635,Vision-oriented explicit artificial intelligence,Books,Apple,8299.96,10868.82,294,Active
240,Front-line mission-critical help-desk,Toys,Apple,18212.56,19399.16,400,Active
310,Extended cohesive workforce,Toys,Sony,13533.55,16390.68,270,Inactive
212,Reverse-engineered impactful adapter,Beauty,LG,15274.09,17189.61,403,Inactive
835,Ameliorated systemic moderator,Toys,Philips,36047.28,51127.03,472,Inactive
381,Organized next generation budgetary management,Grocery,Nike,48049.52,53689.21,381,Inactive
602,Triple-buffered leadingedge structure,Clothing,LG,49839.08,52719.46,459,Inactive
228,Switchable impactful strategy,Sports,Philips,15473.38,18116.38,285,Active
874,Visionary 24/7 encoding,Grocery,LG,34613.35,42259.5,101,Inactive
360,Focused directional open system,Unknown_Category,Sony,23448.92,26464.3,377,Active
814,Open-architected upward-trending analyzer,Beauty,Levis,10920.22,16343.91,109,Active
178,Synergized systemic collaboration,Home,Nestle,19599.91,29230.77,118,Active
995,Implemented bottom-line application,Grocery,Nestle,36387.12,40554.81,498,Active
757,Diverse full-range utilization,Clothing,Adidas,24212.65,34666.01,127,Inactive
494,Pre-emptive didactic paradigm,Toys,Samsung,31825.83,38111.46,325,Inactive
335,Organized zero administration policy,Sports,Levis,43168.76,58018.31,339,Inactive
893,Secured client-driven encoding,Electronics,Sony,46574.27,69505.16,143,Active
8,Fundamental encompassing complexity,Beauty,Apple,6986.94,9155.64,15,Active
156,Progressive bi-directional adapter,Toys,Sony,28444.61,34649.7,49,Inactive
843,Face-to-face 6thgeneration infrastructure,Sports,Levis,8527.36,11609.02,76,Active
751,Down-sized 24hour software,Beauty,LG,4595.47,5022.87,362,Active
942,Reverse-engineered needs-based Local Area Network,Beauty,LG,3528.07,5038.28,240,Inactive
483,Persistent local solution,Electronics,Puma,1462.0,1549.11,295,Inactive
847,Public-key context-sensitive middleware,Clothing,Puma,36639.68,42635.27,445,Inactive
750,Re-engineered intangible extranet,Electronics,Levis,37729.35,49154.46,76,Active
904,Business-focused logistical function,Electronics,Nike,33388.1,40776.15,278,Active
592,Object-based uniform matrix,Toys,Samsung,770.42,1143.13,483,Inactive
953,Front-line systematic analyzer,Home,Puma,46024.84,67060.86,343,Inactive
581,Synchronized transitional superstructure,Unknown_Category,LG,30920.76,35742.22,200,Active
440,Realigned radical focus group,Beauty,Samsung,20250.47,26635.8,-50,Inactive
543,Fully-configurable actuating system engine,Sports,Philips,35829.33,42614.85,180,Inactive
597,Programmable global installation,Clothing,Sony,14970.36,19276.11,-50,Inactive
724,Monitored needs-based info-mediaries,Grocery,Puma,25064.55,0.0,278,Active
678,Self-enabling incremental firmware,Home,Nestle,35299.99,51186.48,388,Active
479,Inverse foreground info-mediaries,Sports,Adidas,23100.01,24915.15,228,Inactive
229,Polarized tangible infrastructure,Beauty,Levis,29691.9,37504.39,22,Inactive
975,Secured contextually-based access,Books,LG,48803.76,71596.13,222,Inactive
815,Synergized even-keeled approach,Beauty,Philips,45261.26,66063.65,385,Inactive
213,User-centric client-server hardware,Home,Apple,42359.3,59748.59,406,Inactive
80,Grass-roots static installation,Clothing,Adidas,1023.33,1351.28,68,Inactive
149,Triple-buffered transitional orchestration,Beauty,Adidas,33696.7,38891.5,392,Active
303,Synergistic disintermediate moderator,Clothing,Apple,33992.91,44683.23,351,Active
356,Horizontal context-sensitive capability,Toys,Apple,49200.05,58466.7,209,Inactive
430,Streamlined bandwidth-monitored time-frame,Books,Sony,6691.01,9388.6,151,Inactive
520,Reverse-engineered next generation approach,Electronics,LG,12155.54,18022.09,244,Active
363,Self-enabling multi-tasking portal,Electronics,Samsung,13773.01,16147.17,63,Inactive
595,Profound empowering moratorium,Books,LG,44169.43,49084.69,27,Active
358,Innovative discrete forecast,Electronics,Levis,32027.51,38108.11,439,Inactive
134,Face-to-face attitude-oriented system engine,Electronics,Adidas,8165.4,9418.06,135,Inactive
830,Streamlined disintermediate analyzer,Books,Samsung,11221.31,5610.65,310,Inactive
312,Persevering 24hour circuit,Grocery,Adidas,17829.55,19097.8,177,Active
622,Multi-tiered dedicated application,Grocery,Adidas,12009.6,17294.83,-100,Active
465,Balanced analyzing protocol,Grocery,Philips,26054.34,28665.51,298,Active
994,Re-contextualized fresh-thinking service-desk,Clothing,Nike,40665.28,54545.75,126,Inactive
1,Synchronized attitude-oriented Local Area Network,Electronics,Apple,1188.92,0.0,287,Active
